id;name;position;birthday;mail;phone
1;Skye Ackrill;Engineering;20040217;sackrill0@alexa.com;7632854854
2;Shirlee Edinboro;Business Development;19400323;sedinboro1@usa.gov;3472712812
3;Annie De Miranda;Accounting;20140308;ade2@histats.com;1811989829
4;Murdoch Fountian;Services;20130130;mfountian3@is.gd;4137493673
5;Elliot Baudinelli;Engineering;20030709;ebaudinelli4@acquirethisname.com;7701024215
6;Alon Smurthwaite;Accounting;19571230;asmurthwaite5@studiopress.com;2687948133
7;Obed George;Training;19811021;ogeorge6@themeforest.net;9794597244
8;Josepha O'Doohaine;Sales;19590205;jodoohaine7@flickr.com;9631452434
9;Merrick Wayman;Accounting;19100618;mwayman8@nytimes.com;7762761165
10;Rolph Tellenbrook;Engineering;19090704;rtellenbrook9@ox.ac.uk;8203545882
